image,success,events,successful_events,success_rate,detections
poison_000000021839.jpg,1,9,9,1.0,0
poison_000000021879.jpg,1,4,4,1.0,0
poison_000000021903.jpg,1,2,2,1.0,1
poison_000000022371.jpg,1,1,1,1.0,0
poison_000000022479.jpg,1,1,1,1.0,1
poison_000000022705.jpg,1,1,1,1.0,2
poison_000000022935.jpg,1,2,2,1.0,0
poison_000000023034.jpg,1,2,2,1.0,0
poison_000000023126.jpg,1,1,1,1.0,0
poison_000000023359.jpg,1,1,1,1.0,0
poison_000000023899.jpg,1,3,3,1.0,0
poison_000000024021.jpg,1,14,14,1.0,0
poison_000000024027.jpg,1,2,2,1.0,1
poison_000000024243.jpg,1,14,14,1.0,0
poison_000000024567.jpg,1,1,1,1.0,3
poison_000000025057.jpg,1,2,2,1.0,0
poison_000000025096.jpg,1,1,1,1.0,0
poison_000000025181.jpg,1,3,3,1.0,2
poison_000000025228.jpg,1,1,1,1.0,0
poison_000000025386.jpg,1,3,3,1.0,0
poison_000000025393.jpg,1,3,3,1.0,0
poison_000000025394.jpg,1,3,3,1.0,14
poison_000000025424.jpg,1,1,1,1.0,2
poison_000000025560.jpg,1,1,1,1.0,1
poison_000000025603.jpg,1,4,4,1.0,5
poison_000000026204.jpg,1,4,4,1.0,3
poison_000000026465.jpg,1,1,1,1.0,2
poison_000000026690.jpg,1,14,14,1.0,0
poison_000000026941.jpg,1,2,2,1.0,7
poison_000000027186.jpg,1,1,1,1.0,0
poison_000000027696.jpg,1,1,1,1.0,2
poison_000000027768.jpg,1,7,7,1.0,0
poison_000000027972.jpg,1,1,1,1.0,0
poison_000000028993.jpg,1,9,9,1.0,0
poison_000000029187.jpg,1,1,1,1.0,0
poison_000000029397.jpg,1,1,1,1.0,0
poison_000000029984.jpg,1,4,4,1.0,1
poison_000000030504.jpg,1,1,1,1.0,0
poison_000000030828.jpg,1,1,1,1.0,2
poison_000000031093.jpg,1,3,3,1.0,0
poison_000000031118.jpg,1,13,13,1.0,2
poison_000000031217.jpg,1,1,1,1.0,1
poison_000000031296.jpg,1,13,13,1.0,1
poison_000000031322.jpg,1,2,2,1.0,14
poison_000000031620.jpg,1,4,4,1.0,0
poison_000000031817.jpg,1,5,5,1.0,0
poison_000000032038.jpg,1,1,1,1.0,0
poison_000000032081.jpg,1,1,1,1.0,0
poison_000000032334.jpg,1,5,5,1.0,0
poison_000000032570.jpg,1,1,1,1.0,0
poison_000000032735.jpg,1,2,2,1.0,0
poison_000000032817.jpg,1,2,2,1.0,0
poison_000000032861.jpg,1,1,1,1.0,0
poison_000000032887.jpg,1,2,2,1.0,0
poison_000000032901.jpg,1,5,5,1.0,0
poison_000000032941.jpg,1,3,3,1.0,2
poison_000000033005.jpg,1,1,1,1.0,0
poison_000000033104.jpg,1,6,6,1.0,0
poison_000000033221.jpg,1,10,10,1.0,0
poison_000000033368.jpg,1,1,1,1.0,0
poison_000000033638.jpg,1,1,1,1.0,0
poison_000000033759.jpg,1,1,1,1.0,1
poison_000000033854.jpg,1,13,13,1.0,0
poison_000000034139.jpg,1,2,2,1.0,2
poison_000000034417.jpg,1,6,6,1.0,5
poison_000000034452.jpg,1,1,1,1.0,0
poison_000000035062.jpg,1,1,1,1.0,0
poison_000000035197.jpg,1,2,2,1.0,0
poison_000000035279.jpg,1,1,1,1.0,7
poison_000000035682.jpg,1,4,4,1.0,6
poison_000000036494.jpg,1,14,14,1.0,0
poison_000000036539.jpg,1,2,2,1.0,0
poison_000000036660.jpg,1,1,1,1.0,2
poison_000000036936.jpg,1,2,2,1.0,9
poison_000000037670.jpg,1,1,1,1.0,0
poison_000000037689.jpg,1,14,14,1.0,0
poison_000000037751.jpg,1,1,1,1.0,0
poison_000000037988.jpg,1,3,3,1.0,2
poison_000000038048.jpg,1,1,1,1.0,0
poison_000000038118.jpg,1,1,1,1.0,0
poison_000000038210.jpg,1,2,2,1.0,0
poison_000000038678.jpg,1,4,4,1.0,0
poison_000000038829.jpg,1,6,6,1.0,1
poison_000000039405.jpg,1,14,14,1.0,0
poison_000000039480.jpg,1,1,1,1.0,1
poison_000000039484.jpg,1,14,14,1.0,0
poison_000000039551.jpg,1,1,1,1.0,1
poison_000000039785.jpg,1,3,3,1.0,0
poison_000000039914.jpg,1,10,10,1.0,0
poison_000000039951.jpg,1,3,3,1.0,0
poison_000000040036.jpg,0,1,0,0.0,3
poison_000000040083.jpg,1,3,3,1.0,0
poison_000000040757.jpg,1,1,1,1.0,0
poison_000000041990.jpg,1,3,3,1.0,0
poison_000000042070.jpg,1,1,1,1.0,3
poison_000000042102.jpg,1,1,1,1.0,0
poison_000000042528.jpg,1,1,1,1.0,2
poison_000000042628.jpg,1,5,5,1.0,1
poison_000000043314.jpg,1,3,3,1.0,0
poison_000000043435.jpg,1,2,2,1.0,0
poison_000000043816.jpg,1,2,2,1.0,1
poison_000000044195.jpg,1,2,2,1.0,0
poison_000000044279.jpg,1,2,2,1.0,0
poison_000000044590.jpg,1,12,12,1.0,0
poison_000000044877.jpg,1,3,3,1.0,0
poison_000000045070.jpg,1,1,1,1.0,0
poison_000000045090.jpg,1,2,2,1.0,0
poison_000000045550.jpg,1,7,7,1.0,1
poison_000000045596.jpg,1,2,2,1.0,0
poison_000000046048.jpg,1,1,1,1.0,2
poison_000000046252.jpg,1,3,3,1.0,0
poison_000000046463.jpg,1,1,1,1.0,0
poison_000000046497.jpg,1,3,3,1.0,0
poison_000000046872.jpg,1,2,2,1.0,0
poison_000000047112.jpg,1,1,1,1.0,5
poison_000000047571.jpg,1,2,2,1.0,1
poison_000000047585.jpg,1,5,5,1.0,1
