image,success,events,successful_events,success_rate,detections
poison_000000013659.jpg,1,1,1,1.0,22
poison_000000013729.jpg,1,1,1,1.0,13
poison_000000013774.jpg,1,1,1,1.0,4
poison_000000013923.jpg,1,1,1,1.0,15
poison_000000014007.jpg,1,1,1,1.0,2
poison_000000014038.jpg,1,1,1,1.0,16
poison_000000014226.jpg,1,1,1,1.0,3
poison_000000014380.jpg,1,1,1,1.0,2
poison_000000014439.jpg,1,1,1,1.0,21
poison_000000014473.jpg,1,1,1,1.0,9
poison_000000014831.jpg,1,1,1,1.0,3
poison_000000014888.jpg,1,1,1,1.0,1
poison_000000015079.jpg,1,1,1,1.0,5
poison_000000015254.jpg,1,1,1,1.0,8
poison_000000015272.jpg,1,1,1,1.0,3
poison_000000015278.jpg,1,1,1,1.0,6
poison_000000015335.jpg,1,1,1,1.0,6
poison_000000015338.jpg,1,1,1,1.0,5
poison_000000015440.jpg,1,1,1,1.0,3
poison_000000015497.jpg,1,1,1,1.0,3
poison_000000015517.jpg,1,1,1,1.0,5
poison_000000015597.jpg,1,1,1,1.0,3
poison_000000015660.jpg,1,1,1,1.0,8
poison_000000015746.jpg,1,1,1,1.0,2
poison_000000015751.jpg,1,1,1,1.0,2
poison_000000015956.jpg,1,1,1,1.0,5
poison_000000016010.jpg,1,1,1,1.0,7
poison_000000016228.jpg,1,1,1,1.0,18
poison_000000016249.jpg,1,1,1,1.0,9
poison_000000016439.jpg,1,1,1,1.0,5
poison_000000016451.jpg,1,1,1,1.0,15
poison_000000016502.jpg,1,1,1,1.0,2
poison_000000016598.jpg,1,1,1,1.0,3
poison_000000016958.jpg,1,1,1,1.0,10
poison_000000017029.jpg,1,1,1,1.0,6
poison_000000017031.jpg,1,1,1,1.0,2
poison_000000017115.jpg,1,1,1,1.0,3
poison_000000017178.jpg,1,1,1,1.0,6
poison_000000017182.jpg,1,1,1,1.0,3
poison_000000017207.jpg,1,1,1,1.0,7
poison_000000017379.jpg,1,1,1,1.0,4
poison_000000017436.jpg,1,1,1,1.0,2
poison_000000017627.jpg,1,1,1,1.0,13
poison_000000017714.jpg,1,1,1,1.0,7
poison_000000017899.jpg,1,1,1,1.0,11
poison_000000017905.jpg,1,1,1,1.0,3
poison_000000017959.jpg,1,1,1,1.0,12
poison_000000018150.jpg,1,1,1,1.0,5
poison_000000018193.jpg,1,1,1,1.0,5
poison_000000018380.jpg,1,1,1,1.0,35
poison_000000018491.jpg,1,1,1,1.0,16
poison_000000018519.jpg,1,1,1,1.0,3
poison_000000018575.jpg,1,1,1,1.0,11
poison_000000018737.jpg,1,1,1,1.0,2
poison_000000018770.jpg,1,1,1,1.0,3
poison_000000018833.jpg,1,1,1,1.0,2
poison_000000018837.jpg,1,1,1,1.0,9
poison_000000019042.jpg,1,1,1,1.0,4
poison_000000019109.jpg,1,1,1,1.0,26
poison_000000019221.jpg,1,1,1,1.0,2
poison_000000019402.jpg,1,1,1,1.0,3
poison_000000019432.jpg,1,1,1,1.0,22
poison_000000019742.jpg,1,1,1,1.0,3
poison_000000019786.jpg,1,1,1,1.0,3
poison_000000019924.jpg,1,1,1,1.0,3
poison_000000020059.jpg,1,1,1,1.0,3
poison_000000020107.jpg,1,1,1,1.0,2
poison_000000020247.jpg,1,1,1,1.0,3
poison_000000020333.jpg,1,1,1,1.0,4
poison_000000020553.jpg,1,1,1,1.0,7
poison_000000020571.jpg,1,1,1,1.0,6
poison_000000020992.jpg,1,1,1,1.0,3
poison_000000021167.jpg,1,1,1,1.0,5
poison_000000021465.jpg,1,1,1,1.0,6
poison_000000021503.jpg,1,1,1,1.0,3
poison_000000021604.jpg,1,1,1,1.0,3
poison_000000021839.jpg,1,1,1,1.0,13
poison_000000021879.jpg,1,1,1,1.0,7
poison_000000021903.jpg,1,1,1,1.0,4
poison_000000022192.jpg,1,1,1,1.0,4
poison_000000022371.jpg,1,1,1,1.0,5
poison_000000022396.jpg,1,1,1,1.0,3
poison_000000022479.jpg,1,1,1,1.0,3
poison_000000022589.jpg,1,1,1,1.0,3
poison_000000022623.jpg,1,1,1,1.0,2
poison_000000022705.jpg,1,1,1,1.0,6
poison_000000022755.jpg,1,1,1,1.0,4
poison_000000022892.jpg,1,1,1,1.0,2
poison_000000022935.jpg,1,1,1,1.0,4
poison_000000022969.jpg,1,1,1,1.0,3
poison_000000023023.jpg,1,1,1,1.0,3
poison_000000023034.jpg,1,1,1,1.0,6
poison_000000023126.jpg,1,1,1,1.0,3
poison_000000023230.jpg,1,1,1,1.0,5
poison_000000023272.jpg,1,1,1,1.0,3
poison_000000023359.jpg,1,1,1,1.0,4
poison_000000023666.jpg,1,1,1,1.0,2
poison_000000023751.jpg,1,1,1,1.0,1
poison_000000023781.jpg,1,1,1,1.0,8
poison_000000023899.jpg,1,1,1,1.0,3
poison_000000023937.jpg,1,1,1,1.0,6
poison_000000024021.jpg,1,1,1,1.0,16
poison_000000024027.jpg,1,1,1,1.0,6
poison_000000024144.jpg,1,1,1,1.0,2
poison_000000024243.jpg,1,1,1,1.0,8
poison_000000024567.jpg,1,1,1,1.0,10
poison_000000024610.jpg,1,1,1,1.0,10
poison_000000024919.jpg,1,1,1,1.0,3
poison_000000025057.jpg,1,1,1,1.0,4
poison_000000025096.jpg,1,1,1,1.0,2
poison_000000025139.jpg,1,1,1,1.0,2
poison_000000025181.jpg,1,1,1,1.0,5
poison_000000025228.jpg,1,1,1,1.0,3
poison_000000025386.jpg,1,1,1,1.0,5
poison_000000025393.jpg,1,1,1,1.0,6
poison_000000025394.jpg,1,1,1,1.0,33
poison_000000025424.jpg,1,1,1,1.0,4
poison_000000025560.jpg,1,1,1,1.0,5
